,CO2_HW,CO2_ p_h,CO2_ p_Area ,CO2 (mg/m3),CO2 (ug/m3),CO2_EF,,acutal T1,, Actual time
0,126.2472727,368.9026342,46572.95147,83812.2644,83812264.4,264288007.1,230.9647207,,357.2119935,
1,38.52662882,367.8846082,14173.35375,25506.23987,25506239.87,80429676.4,406.5587501,,445.0853789,
2,113.538243,367.9103783,41771.89794,75172.33167,75172331.67,237043419.2,541.2379695,,654.7762125,
3,69.1303481,376.3056012,26014.1372,46814.80723,46814807.23,147622692.1,798.2370717,,867.3674198,
4,11.33962865,373.3326623,4233.453754,7618.485284,7618485.284,24023623.59,928.7336477,,940.0732764,
5,31.21521876,377.482472,11783.19794,21204.937,21204937,66866234.66,1015.272093,,1046.487312,
6,369.3066906,375.4277394,138647.976,249509.65,249509650,786787096.4,986.9570971,,1356.263788,
7,72.55216376,377.484424,27387.31175,49285.9598,49285959.8,155415059.9,1499.715378,,1572.267542,
8,45.57193495,375.8352979,17127.54175,30822.57002,30822570.02,97193837.45,1623.523741,,1669.095676,
9,80.78799154,378.0492237,30541.83749,54962.81593,54962815.93,173316079.6,1795.05246,,1875.840452,
10,6.12655555,382.9353305,2346.074574,4221.974694,4221974.694,13313293.54,2013.056829,,2019.183384,
11,126.6616177,376.3694093,47671.55825,85789.30728,85789307.28,270522282.3,1946.780138,,2073.441756,
12,34.26290264,379.8567663,13014.9954,23421.66862,23421668.62,73856328.37,2164.954037,,2199.21694,
13,193.1623648,376.8942387,72801.78242,131013.4326,131013432.6,413129024.1,2144.340011,,2337.502375,
14,13.71809327,372.9458825,5116.106399,9206.899041,9206899.041,29032421.64,2396.941091,,2410.659184,
15,4.176517488,372.7426217,1556.766078,2801.542226,2801542.226,8834196.487,2428.511873,,2432.688391,
16,74.15476898,373.8432627,27722.26078,49888.73105,49888731.05,157315798.6,2495.511067,,2569.665836,
17,62.20751317,372.1572714,23150.97836,41662.29235,41662292.35,131375095.2,2647.755753,,2709.963266,
18,131.2114575,376.7702952,49436.57956,88965.62375,88965623.75,280538266.9,2829.41461,,2960.626068,
19,67.85125569,374.9444094,25440.44899,45782.40309,45782403.09,144367177.7,3035.942109,,3103.793365,
20,12.69527885,368.5844303,4679.282122,8420.794002,8420794.002,26553570.42,3163.064059,,3175.759338,
21,109.9425654,369.6718583,40642.67245,73140.18765,73140187.65,230635391.7,3265.012447,,3374.955013,
22,77.00099677,372.3595714,28672.05816,51597.97787,51597977.87,162705623.6,3474.105596,,3551.106593,
23,55.0314329,373.1982307,20537.63339,36959.34025,36959340.25,116545119.6,3614.934664,,3669.966097,
24,75.30693856,372.4935564,28051.34937,50480.95592,50480955.92,159183281,3720.702433,,3796.009371,
25,59.78444058,370.404406,22144.4202,39850.89933,39850899.33,125663169.2,3863.477951,,3923.262391,
26,1.061965104,371.8928003,394.9371762,710.7253886,710725.3886,2241154.059,3897.03114,,3898.093106,
27,93.93281361,376.7786885,35391.88232,63690.91297,63690912.97,200838678.9,4100.280344,,4194.213157,
28,30.86820209,369.892192,11417.90693,20547.56258,20547562.58,64793314,4247.805144,,4278.673346,
29,59.20558261,363.6464647,21529.90081,38745.01577,38745015.77,122175949.7,4378.318831,,4437.524414,
30,86.87260992,375.6502284,32633.71576,58727.34124,58727341.24,185186882.7,4613.690109,,4700.562719,
31,52.80026337,368.973134,19481.87865,35059.41352,35059413.52,110554017.3,4766.196229,,4818.996492,
32,7.301124807,369.7127774,2699.31913,4857.670419,4857670.419,15317854.05,4794.833177,,4802.134302,
33,89.47104705,371.269262,33217.84961,59778.54326,59778543.26,188501673.1,4879.567563,,4969.03861,
34,5.813494509,370.5323883,2154.088005,3876.477391,3876477.391,12223825.37,5031.787857,,5037.601351,
35,78.23389433,370.5662375,28990.83987,52171.65457,52171654.57,164514617.4,5049.491581,,5127.725476,
36,89.93182474,383.0934499,34452.293,62000.03647,62000036.47,195506781.7,5305.739869,,5395.671694,
37,736.831123,374.2795137,275780.7944,496292.6361,496292636.1,1564976112,5235.331927,,5972.16305,
38,18.46101264,380.0896268,7016.839403,12627.44105,12627441.05,39818530.79,5593.308876,,5611.769889,
39,2.04488373,377.7462555,772.4471721,1390.08898,1390088.98,4383413.918,5685.5,,5687.544884,
40,41.26268968,377.9945658,15597.07247,28068.35128,28068351.28,88508867.69,5716.815661,,5758.07835,
41,62.52542934,376.2344411,23524.21997,42333.97458,42333974.58,133493133.2,5894.868479,,5957.393908,
42,67.65484994,377.9510298,25570.22021,46015.9382,46015938.2,145103591.8,6049.729798,,6117.384648,
43,112.6227041,379.0271458,42687.06207,76819.2528,76819252.8,242236710.5,6225.049776,,6337.672481,
44,93.34333246,378.9611194,35373.49376,63657.82108,63657821.08,200734329.1,6450.363558,,6543.70689,
45,54.90643185,375.044961,20592.38059,37057.86282,37057862.82,116855794.1,6617.164579,,6672.071011,
46,5.687646008,375.3264025,2134.723715,3841.629589,3841629.589,12113938.64,6650.405495,,6656.093141,
47,140.2471977,378.4697847,53079.32672,95521.07876,95521078.76,301209801.7,6815.182515,,6955.429713,
48,90.79836865,368.2215425,33433.91536,60167.37324,60167373.24,189727783.6,7428.349708,,7519.148077,
49,16.90089709,368.2814731,6224.287276,11201.17138,11201171.38,35321027.07,7614.40909,,7631.309987,
50,302.1561679,368.58944,111371.5727,200423.2801,200423280.1,632001410.1,7674.795952,,7976.95212,
51,41.6188321,370.0022587,15399.06188,27712.0132,27712013.2,87385214.95,7895.484804,,7937.103636,
52,144.3267844,368.7254001,53216.95134,95768.74679,95768746.79,301990781.5,8115.663135,,8259.98992,
53,110.6097568,368.9136794,40805.45235,73433.12489,73433124.89,231559120.5,8338.861759,,8449.471516,
54,25.08680848,369.0713373,9258.821952,16662.09267,16662092.67,52541132.23,8472.688005,,8497.774813,
55,2.914564928,368.3703793,1073.639388,1932.111782,1932111.782,6092592.486,8556.646637,,8559.561202,
56,33.48701888,364.6830074,12212.14676,21976.86942,21976869.42,69300394.9,8727.422345,,8760.909364,
57,93.64895034,356.4231874,33378.65737,60067.93147,60067931.47,189414210.6,8931.70923,,9025.358181,
58,20.68969199,352.9140967,7301.683962,13140.04476,13140044.76,41434941.14,9118.496014,,9139.185706,
59,9.936485083,352.9103316,3506.688246,6310.604614,6310604.614,19899439.88,9147.741293,,9157.677778,
60,69.16904799,353.8321123,24474.23036,44043.60473,44043604.73,138884166.9,9223.077053,,9292.246101,
61,50.56821188,350.8282316,17740.75635,31926.10549,31926105.49,100673652.7,9368.398279,,9418.966491,
62,2.508388921,349.8424036,877.5408093,1579.214544,1579214.544,4979789.863,9515.863428,,9518.371817,
63,119.4343109,350.8394017,41902.26218,75406.93399,75406933.99,237783198.5,9642.43933,,9761.873641,
64,52.85397925,351.208437,18562.76344,33405.38206,33405382.06,105338304.8,9812.515592,,9865.369571,
65,58.74842588,349.7592165,20547.80341,36977.64212,36977642.12,116602831.5,9942.492002,,10001.24043,
66,110.3461551,351.6586337,38804.17814,69831.64982,69831649.82,220202469.1,10072.28624,,10182.6324,
67,100.4074714,355.7006277,35715.00059,64272.3937,64272393.7,202672281.5,10325.71727,,10426.12474,
68,85.50109971,354.4017026,30301.73531,54530.73021,54530730.21,171953569.3,10523.41163,,10608.91273,
69,45.50908854,354.7344241,16143.64031,29051.94985,29051949.85,91610481.86,10646.17128,,10691.68037,
70,43.31567203,351.7883569,15237.94909,27422.07608,27422076.08,86470946.56,10779.15831,,10822.47399,
71,158.7608134,352.1424204,55906.41707,100608.6851,100608685.1,317252720.4,11005.13448,,11163.89529,
72,1.651420677,350.197892,578.32404,1040.746739,1040746.739,3281821.382,11233.54455,,11235.19598,
73,61.43965558,349.1345802,21450.70836,38602.50175,38602501.75,121726555.5,11424.83714,,11486.2768,
74,95.76894073,350.4513085,33562.35059,60398.50413,60398504.13,190456616.4,11600.4552,,11696.22414,
75,89.95978144,350.675973,31546.73389,56771.21845,56771218.45,179018575.5,11837.31732,,11927.2771,
76,54.81253547,348.4976193,19102.03812,34375.85592,34375855.92,108398532.3,11992.34506,,12047.1576,
77,1.406431351,348.8442045,490.6254258,882.9251016,882925.1016,2784157.154,12025.5,,12026.90643,
78,70.7494651,350.8636402,24823.41487,44671.99403,44671994.03,140865687.8,12116.10641,,12186.85587,
79,59.07361262,350.4358983,20701.5145,37254.25923,37254259.23,117475097.4,12246.32575,,12305.39936,
80,79.38047892,351.9214402,27935.69246,50272.82079,50272820.79,158526961.6,12371.83147,,12451.21195,
81,74.89671772,354.5315564,26553.24991,47784.9896,47784989.6,150682000.6,12565.2964,,12640.19312,
82,46.5274508,349.7111362,16271.16768,29281.44696,29281446.96,92334162.74,12696.24438,,12742.77183,
83,11.28398091,347.8249304,3924.849874,7063.124517,7063124.517,22272385.98,12783.07961,,12794.3636,
84,81.82573784,353.2581512,28905.60887,52018.27363,52018273.63,164030956.2,12951.29007,,13033.11581,
85,110.2148758,352.7466033,38877.92306,69964.36052,69964360.52,220620950.2,13185.39089,,13295.60577,
86,30.20237958,348.1320233,10514.41551,18921.64754,18921647.54,59666261.92,13426.43977,,13456.64215,
87,77.0507107,352.9326012,27193.70775,48937.55177,48937551.77,154316413.3,13587.34024,,13664.39095,
88,33.368055,349.715611,11669.32974,21000.0208,21000020.8,66220065.59,13720.32379,,13753.69185,
89,130.7460139,353.6943751,46244.12967,83220.51965,83220519.65,262422038.6,13843.24308,,13973.98909,
90,10.39528208,348.455573,3622.293972,6518.647639,6518647.639,20555468.89,14053.35792,,14063.7532,
91,36.44896221,348.4381867,12700.2103,22855.18418,22855184.18,72070014.11,14050.63626,,14087.08522,
92,4.646193592,348.0364755,1617.044842,2910.019348,2910019.348,9176261.012,14136.94713,,14141.59333,
93,27.76517395,347.9870442,9661.920814,17387.50576,17387505.76,54828601.5,14130.46836,,14158.23353,
94,264.7325816,349.849418,92616.53959,166671.8913,166671891.3,525572030.5,14228.29728,,14493.02986,
95,7.243758613,350.4118991,2538.299212,4567.900423,4567900.423,14404112.67,14374.11573,,14381.35949,
96,69.95433431,350.5070143,24519.48486,44125.04432,44125044.32,139140973.1,14404.80742,,14474.76176,
97,58.1046614,350.5937638,20371.13194,36659.70573,36659705.73,115600272.1,14547.9664,,14606.07107,
98,76.09889738,350.5499814,26676.46706,48006.73009,48006730.09,151381222.2,14794.04414,,14870.14304,
99,70.51831069,350.2490202,24698.96923,44448.04278,44448042.78,140159494.9,14926.10913,,14996.62744,
100,59.57664379,351.8492617,20961.99813,37723.02322,37723023.22,118953266.6,15070.71129,,15130.28794,
101,74.18819131,356.4986755,26447.99194,47595.56831,47595568.31,150084692.1,15261.61513,,15335.80332,
102,197.9922186,354.3365145,70155.87263,126251.8771,126251877.1,398114252.5,15431.39238,,15629.38459,
103,56.55650675,352.1383359,19915.71417,35840.14002,35840140.02,113015908.2,15705.47862,,15762.03512,
104,3.362977642,349.6604172,1175.900165,2116.139357,2116139.357,6672892.771,15851.59756,,15854.96054,
105,1.126094019,349.6609491,393.7511033,708.5909426,708590.9426,2234423.439,15859.59225,,15860.71835,
106,49.52936407,349.5637962,17313.67253,31157.52929,31157529.29,98250075.69,15845.14573,,15894.6751,
107,127.9000857,349.4528036,44695.04352,80432.79815,80432798.15,253631423.5,15915.62576,,16043.52585,
108,90.77877531,353.4362041,32084.50576,57738.98787,57738987.87,182070275.1,16157.2283,,16248.00708,
109,65.15255389,352.808221,22986.35663,41366.04057,41366040.57,130440914.6,16345.27789,,16410.43044,
110,58.20902656,353.019542,20548.9239,36979.65855,36979658.55,116609190,16469.28094,,16527.48997,
111,150.7841936,352.1213816,53094.33859,95548.09398,95548093.98,301294989.7,16632.66932,,16783.45351,
112,21.05236139,353.067655,7432.90787,13376.19412,13376194.12,42179598.8,16893.15729,,16914.20965,
113,142.9426138,371.7724173,53142.12105,95634.08288,95634082.88,301566141.3,17030.39576,,17173.33838,
114,71.69644087,376.5173557,26994.95433,48579.87691,48579876.91,153188545.2,17317.56819,,17389.26463,
115,163.1228474,377.2184146,61532.94188,110734.1285,110734128.5,349181618.6,17430.57714,,17593.69999,
116,6.979178595,378.5145672,2641.720765,4754.016919,4754016.919,14991000.02,17467.17811,,17474.15729,
117,4.391406537,377.8095262,1659.115223,2985.728827,2985728.827,9414998.234,17528.8739,,17533.26531,
118,29.44198726,377.761239,11122.04158,20015.12596,20015125.96,63114363.86,17520.0728,,17549.51478,
119,62.78952961,375.3846271,23570.22416,42416.76331,42416763.31,133754193.6,17754.1749,,17816.96443,
120,152.3900232,375.5537392,57230.64302,102991.7502,102991750.2,324767319,17887.17883,,18039.56885,
121,35.31912838,385.4022028,13612.06988,24496.15847,24496158.47,77244553.05,18173.48035,,18208.79948,
122,3.532894997,385.1476832,1360.686323,2448.678863,2448678.863,7721500.682,18222.48437,,18226.01726,
123,2.812145734,384.8282482,1082.193116,1947.504995,1947504.995,6141132.417,18253.71913,,18256.53128,
124,13.52356983,384.8664213,5204.767923,9366.453523,9366453.523,29535550.11,18266.95648,,18280.48005,
125,412.5450646,380.472957,156962.2407,282467.8359,282467835.9,890715242.7,18144.62109,,18557.16615,
126,31.3744998,381.0791895,11956.16896,21516.21407,21516214.07,67847795.04,18515.34896,,18546.72346,
127,37.44162634,376.2946126,14089.08228,25354.5857,25354585.7,79951460.23,18671.29619,,18708.73782,
128,53.60870602,380.7164321,20409.71528,36729.13998,36729139.98,115819221.4,18782.54455,,18836.15325,
129,88.18059973,380.3142472,33536.3384,60351.69283,60351692.83,190309004.7,18879.74997,,18967.93057,
130,119.8656237,380.060755,45556.21943,81982.56258,81982562.58,258518347.3,19036.75989,,19156.62552,
131,58.84597852,377.8649675,22235.83376,40015.40635,40015406.35,126181914.7,19223.8976,,19282.74358,
132,40.53189416,374.2283342,15168.18323,27296.52607,27296526.07,86075045.53,19374.48195,,19415.01384,
133,170.3106023,376.6850475,64153.45732,115449.9845,115449984.5,364052284.6,19492.20883,,19662.51944,
134,38.4618652,381.4363611,14670.7539,26401.35672,26401356.72,83252278.18,19755.20711,,19793.66897,
135,157.1124036,388.6828909,61066.90325,109895.4496,109895449.6,346536984.4,19844.02413,,20001.13653,
136,65.85815465,393.8538025,25938.48464,46678.66356,46678663.56,147193385.7,20057.9931,,20123.85126,
137,5.431265868,386.7870353,2100.743223,3780.478602,3780478.602,11921109.19,20200.47082,,20205.90208,
138,101.7186787,386.8598579,39350.87358,70815.47802,70815478.02,223304807.4,20215.57915,,20317.29783,
139,51.02301647,387.8377635,19788.6526,35611.48116,35611481.16,112294870.6,20372.04953,,20423.07255,
140,41.22623008,380.341589,15680.04986,28217.67664,28217676.64,88979740.34,20526.54485,,20567.77108,
141,85.02528615,386.8541701,32892.38651,59192.84281,59192842.81,186654764.3,20685.55338,,20770.57867,
142,23.35608689,382.445596,8932.432571,16074.72528,16074725.28,50688967.06,20824.25367,,20847.60976,
143,80.72167524,397.1842656,32061.3793,57697.3697,57697369.7,181939039.1,20937.3807,,21018.10237,
144,66.84871588,387.4139667,25898.12619,46606.03485,46606034.85,146964363.2,21080.58032,,21147.42903,
145,63.40642203,391.4047587,24817.57532,44661.48523,44661485.23,140832550.1,21273.68532,,21337.09174,
146,135.8215148,386.9303805,52553.4704,94574.75247,94574752.47,298225719.4,21388.39064,,21524.21215,
147,54.06566212,374.2500826,20234.07851,36413.06563,36413065.63,114822533.6,21666.33239,,21720.39805,
148,34.24147574,373.4882991,12788.79053,23014.59236,23014592.36,72572681.25,21779.84791,,21814.08939,
149,72.21696942,380.6113397,27486.59748,49464.6335,49464633.5,155978477.6,21975.71783,,22047.9348,
150,105.313662,378.4076205,39851.49224,71716.38685,71716386.85,226145673.2,22132.37309,,22237.68675,
151,60.74996016,379.5831871,23059.6635,41497.96294,41497962.94,130856909.8,22294.39122,,22355.14118,
152,55.83588225,376.0554733,20997.38913,37786.71254,37786712.54,119154100.2,22421.73283,,22477.56871,
153,77.36274109,382.5957612,29598.65682,53265.47648,53265476.48,167963802.5,22588.75302,,22666.11577,
154,13.96833306,383.6812037,5359.386841,9644.704335,9644704.335,30412967.67,22636.93471,,22650.90304,
155,92.99363356,389.1931203,36192.48242,65131.6657,65131665.7,205381852.5,22727.11854,,22820.11217,
156,121.8779817,390.4066659,47581.97649,85628.09674,85628096.74,270013931.7,22879.03696,,23000.91494,
157,11.90269377,400.714155,4769.577877,8583.289432,8583289.432,27065972.67,22955.5581,,22967.46079,
158,91.64566332,384.1078119,35201.81521,63348.8699,63348869.9,199760103.1,23095.60911,,23187.25478,
159,67.03701946,379.620994,25448.65996,45797.17948,45797179.48,144413772.6,23256.58575,,23323.62277,
160,95.32552612,377.6591858,36000.56058,64786.2849,64786284.9,204292751.7,23402.55486,,23497.88039,
161,53.58078628,379.0969061,20312.3103,36553.85085,36553850.85,115266476.3,23570.25049,,23623.83127,
162,81.91804112,395.0548457,32362.11909,58238.57832,58238578.32,183645650.3,23700.74491,,23782.66295,
163,117.3713764,382.1525104,44853.76616,80718.43398,80718433.98,254532128.5,23832.72652,,23950.0979,
164,5.630418473,386.9147023,2178.491687,3920.394039,3920394.039,12362309.2,23867.57234,,23873.20276,
165,25.79616598,383.1606717,9884.076285,17787.29475,17787294.75,56089269.43,23918.99318,,23944.78935,
166,52.48851017,379.1849424,19902.8527,35816.99464,35816994.64,112942923.1,24020.77222,,24073.26073,
167,85.88898292,378.1539651,32479.25945,58449.38306,58449383.06,184310387.9,24153.64959,,24239.53857,
168,129.4266746,390.2324357,50506.48648,90891.01862,90891018.62,286609678.7,24377.9474,,24507.37408,
169,90.23958073,388.4596179,35054.43305,63083.64229,63083642.29,198923752,24610.54378,,24700.78336,
170,98.54465795,390.2060655,38452.72326,69199.17478,69199174.78,218208064.5,24825.4333,,24923.97796,
171,109.6098943,378.2537852,41460.3574,74611.68613,74611686.13,235275516.9,24990.07148,,25099.68138,
172,20.85066065,378.753565,7897.262052,14211.84173,14211841.73,44814674.25,25070.79166,,25091.64232,
173,191.2923243,388.679833,74351.46865,133802.234,133802234,421923044.4,25298.19528,,25489.4876,
174,97.61316316,381.8181887,37270.48115,67071.62252,67071622.52,211499183,25714.01527,,25811.62843,
175,84.14441711,397.895172,33480.65732,60251.48965,60251489.65,189993030.7,25929.78014,,26013.92455,
176,4.555791422,395.3342104,1801.060204,3241.171738,3241171.738,10220494.88,26096.74145,,26101.29724,
177,62.14129229,384.9947127,23924.06897,43053.53926,43053539.26,135762160.5,26071.727,,26133.86829,
178,64.82849292,383.9754423,24892.54924,44796.40763,44796407.63,141258005.4,26197.82261,,26262.6511,
179,67.11172784,379.150502,25445.4453,45791.39441,45791394.41,144395530.4,26331.71858,,26398.83031,
180,71.53490792,381.4631305,27287.92992,49107.11314,49107113.14,154851096.8,26511.9524,,26583.4873,
181,87.86904681,383.5172924,33699.29892,60644.95511,60644955.11,191233758.4,26688.38524,,26776.25429,
182,58.84584969,369.1971805,21725.72179,39097.41345,39097413.45,123287177.1,26840.15734,,26899.00319,
183,3.649814513,372.7016368,1360.291843,2447.968961,2447968.961,7719262.123,26873.8294,,26877.47922,
184,55.78712329,367.4871608,20501.05155,36893.5079,36893507.9,116337528.2,26963.68476,,27019.47188,
185,56.96547875,377.9398207,21529.52282,38744.33555,38744335.55,122173804.8,27167.24631,,27224.21179,
186,102.8064452,372.270414,38271.79793,68873.58319,68873583.19,217181365.7,27265.91296,,27368.7194,
187,42.49523615,373.3704381,15866.46494,28553.14754,28553147.54,90037591.9,27412.83118,,27455.32642,
188,28.27736406,365.8621526,10345.61728,18617.87977,18617879.77,58708380.88,27580.31906,,27608.59642,
189,149.2481338,365.348002,54527.50751,98127.21187,98127211.87,309427808.1,27630.68369,,27779.93183,
190,103.5367917,365.2360757,37815.37149,68052.20228,68052202.28,214591277.8,27869.56735,,27973.10414,
191,90.49757134,379.4651067,34340.67057,61799.16176,61799161.76,194873356.8,28086.92357,,28177.42114,
192,70.56688741,382.1465967,26966.89586,48529.38315,48529383.15,153029321.5,28237.78299,,28308.34987,
193,81.11167969,384.6876248,31202.65941,56152.02511,56152025.11,177066052.5,28367.63096,,28448.74264,
194,11.74763347,362.807951,4262.134828,7670.099485,7670099.485,24186380.38,28514.57311,,28526.32075,
195,140.6600695,368.1547553,51784.67348,93191.23244,93191232.44,293863019.6,28578.3355,,28718.99557,
196,53.97438214,371.4862829,20050.74259,36083.13596,36083135.96,113782155.4,28756.36875,,28810.34313,
197,65.49740772,370.7243182,24281.48182,43696.7362,43696736.2,137790374.8,28891.72864,,28957.22605,
198,107.89139,371.9361568,40128.70894,72215.26354,72215263.54,227718797.7,29018.88603,,29126.77742,
199,178.8658764,370.1312424,66203.84906,119139.8511,119139851.1,375687663.7,29209.4086,,29388.27448,
200,16.173459,381.3043702,6167.010596,11098.09678,11098096.78,34995998.5,29293.90681,,29310.08027,
201,52.9669216,362.8742955,19220.33436,34588.74077,34588740.77,109069829.2,29468.29389,,29521.26081,
202,30.45384682,360.9130804,10991.19167,19779.64962,19779649.62,62371828.48,29689.53844,,29719.99228,
203,174.8719414,358.2848406,62653.96567,112751.5129,112751512.9,355543103.9,29665.2399,,29840.11185,
204,116.5416753,360.415928,42003.47604,75589.07754,75589077.54,238357557.8,29917.6089,,30034.15058,
205,61.63102211,359.9978402,22187.03485,39927.58827,39927588.27,125904995,30103.20559,,30164.83661,
206,50.41420286,353.7466524,17833.8555,32093.64588,32093645.88,101201963.4,30230.70591,,30281.12011,
207,61.70893688,355.8362644,21958.27758,39515.91875,39515918.75,124606863.8,30366.40895,,30428.11789,
208,11.18131981,357.4878931,3997.18646,7193.300787,7193300.787,22682875.15,30597.99165,,30609.17297,
209,190.4423555,354.9841816,67604.02371,121659.5928,121659592.8,383633249.2,30550.63194,,30741.07429,
210,20.429274,351.0528058,7171.753958,12906.22389,12906223.89,40697626.01,30853.33407,,30873.76334,
211,19.34742079,351.8800906,6807.972179,12251.56548,12251565.48,38633269.8,30908.67781,,30928.02523,
212,437.3339634,358.3722211,156728.3438,282046.9173,282046917.3,889387945.8,31015.44764,,31452.7816,
213,28.86614795,361.449372,10433.65105,18776.30455,18776304.55,59207947,31190.83612,,31219.70227,
214,81.56460992,358.9136653,29274.65311,52682.40232,52682402.32,166125175.3,31354.02193,,31435.58654,
215,63.44859269,360.2078567,22854.68159,41129.07934,41129079.34,129693696.9,31569.25828,,31632.70688,
216,63.89427743,359.0037483,22938.2851,41279.53146,41279531.46,130168122.5,31702.71393,,31766.60821,
217,59.98983323,356.9750249,21414.87221,38538.01134,38538011.34,121523195.7,31837.74959,,31897.73942,
218,103.042059,359.288926,37021.87072,66624.22542,66624225.42,210088390.8,32004.653,,32107.69506,
219,45.01374051,356.5121428,16047.94509,28879.73758,28879737.58,91067439.17,32152.74292,,32197.75666,
220,11.0982423,355.1141925,3941.143353,7092.446115,7092446.115,22364846.75,32237.62341,,32248.72165,
221,0.722200232,355.1342798,256.4780591,461.5556074,461555.6074,1455438.682,32244.5,,32245.2222,
222,131.8639049,356.2952151,46982.47836,84549.24532,84549245.32,266611953.6,32416.54912,,32548.41302,
223,60.00823159,358.2014115,21495.03326,38682.26844,38682268.44,121978086.5,32597.58075,,32657.58898,
224,88.76112203,363.6417002,32277.24533,58085.84026,58085840.26,183164016.3,32784.58791,,32873.34903,
225,25.40866488,359.3781612,9131.319262,16432.63998,16432639.98,51817591.4,32919.84737,,32945.25603,
226,79.46263514,362.0775585,28771.63692,51777.17892,51777178.92,163270704.2,33103.61655,,33183.07918,
227,73.0772913,360.2133464,26323.41565,47371.38194,47371381.94,149377757.7,33290.74883,,33363.82613,
228,34.26616599,370.5553405,12697.51081,22850.3262,22850326.2,72054695.28,33461.29691,,33495.56308,
229,168.4012309,368.3044077,62022.91562,111615.8809,111615880.9,351962077.7,33450.50709,,33618.90832,
230,21.13732998,386.6090417,8171.882887,14706.04691,14706046.91,46373067.93,33731.46088,,33752.59821,
231,199.2035627,370.7938077,73863.44751,132923.9955,132923995.5,419153665.9,33689.30395,,33888.50752,
232,43.83241999,360.5835032,15805.24755,28442.98128,28442981.28,89690200.96,33943.85964,,33987.69206,
233,54.13060121,378.1766612,20470.93004,36839.3015,36839301.5,116166597.4,34142.2727,,34196.4033,
234,94.5083756,380.4061477,35951.56709,64698.11665,64698116.65,204014727.8,34247.58881,,34342.09719,
235,9.431441593,365.4163646,3446.4031,6202.116008,6202116.008,19557339.14,34403.52738,,34412.95882,
236,121.5023838,380.6659111,46251.81563,83234.35124,83234351.24,262465654.2,34477.53334,,34599.03573,
237,53.64644798,365.5298425,19609.37768,35288.85964,35288859.64,111277537.4,34786.39098,,34840.03743,
238,75.60076869,363.6698393,27493.7194,49477.45004,49477450.04,156018892.5,34883.03994,,34958.6407,
239,64.82334875,364.9744964,23658.86907,42576.28789,42576287.89,134257227.8,35030.05382,,35094.87717,
240,9.286307807,348.0694104,3232.279684,5816.781435,5816781.435,18342250.79,35164.54144,,35173.82775,
241,38.70235228,354.8445107,13733.31726,24714.35417,24714354.17,77932596.82,35253.92777,,35292.63012,
242,18.14482538,354.0293615,6423.800944,11560.21438,11560214.38,36453209.34,35356.85291,,35374.99774,
